name,username,created_at,description,protected,id,verified,lower_name,SQ_CANDIDATO,instagram_url,n_instagram,twitter_url,twitter_user,n_twitter,same,followers_count,following_count,tweet_count,listed_count,days_created,digits_name,digits_desc
Saulo Sperotto,saulosperotto_,2021-07-07T14:21:21.000Z,"Candidato a deputado estadual. Prefeito de Caçador, por 4 vezes; presidente da FECAM, por 2 vezes; presidente da AMARP e 2º vice-presidente da CNM",0,1412778675733516289,0,saulosperotto_,240001612494,https://www.instagram.com/saulosperotto_,1,https://twitter.com/saulosperotto_,saulosperotto_,1,1,21,13,23,0,406.4018402777778,0.0,0.0
Renato Freitas,Renatoafjr,2018-04-06T11:24:18.000Z,Vereador de Curitiba pelo Partido dos Trabalhadores,0,982217430297554945,1,renatoafjr,160001615007,https://www.instagram.com/renatoafjr/,1,https://twitter.com/Renatoafjr?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Ea,renatoafjr,1,1,26525,484,750,57,1594.5247916666667,0.0,0.0
Prof Gui Sousa,profguisousa,2020-06-29T17:04:57.000Z,"Professor, evangélico progressista e gay. Candidato a Deputado Distrital no DF. @evangelicxs @rede_18 @ifbnoticias @raps_brasil",0,1277649209055940608,0,profguisousa,70001601762,https://www.instagram.com/profguisousa/,1,https://twitter.com/profguisousa,profguisousa,1,1,200,216,1078,4,779.2882291666666,0.0,2.0
Aline Sleutjes 🇧🇷,AlineSleutjes,2019-02-05T23:11:48.000Z,• Pré-Candidata a Senadora no Paraná • Dep. Federal pelo Paraná • Vice-líder do Governo no Congresso Nacional . Casada . Mãe e cristã,0,1092923774184407040,1,alinesleutjes,160001654975,https://www.instagram.com/alinesleutjes/,1,https://twitter.com/alinesleutjes,alinesleutjes,1,1,73145,317,2862,197,1289.0334722222221,0.0,0.0
edivilsonbrum,edivilsonbrum,2022-07-25T21:53:22.000Z,Ex-prefeito de Rio Pardo e candidato a deputado estadual pelo MDB.,0,1551686356757258240,0,edivilsonbrum,210001647977,https://www.instagram.com/edivilsonbrum/,1,https://twitter.com/edivilsonbrum,edivilsonbrum,1,1,10,22,4,0,23.087939814814817,0.0,0.0
Giovani Damico,giovanidamico,2019-11-21T22:25:54.000Z,"▫️Giovani Damico 

° Pré-Candidato a Governador da Bahia

▫️Militante do PCB

▫️Professor de Geografia da rede básica 

▫️Mestre em Ciências Sociais-UFBa",0,1197642222914678784,0,giovanidamico,50001719849,https://instagram.com/giovanidamico?igshid=YmMyMTA2M2Y=,1,https://twitter.com/giovanidamico?t=uBBBVQIDwBggLC951O6aKw&s=09,giovanidamico,1,1,1386,205,472,11,1000.0653472222222,0.0,0.0
Paola Reis,paolanapolitica,2022-02-07T18:38:23.000Z,Mulher Trans / Estudante de Direito / HairStylist /Presidente do PDT Diversidade / Curitiba-PR 🌹,0,1490756150970798083,0,paolanapolitica,160001623083,http://www.instagram.com/@paolanapolitica,1,http://www.twitter.com/@paolanapolitica,paolanapolitica,1,1,95,126,61,0,191.22334490740744,0.0,0.0
Queiroz Filho 🌹,queirozmfilho,2010-08-07T23:52:35.000Z,"Deputado Estadual do Ceará - PDT.
Presidente da Comissão de Educação da Assembleia Legislativa do Ceará.",0,175901537,0,queirozmfilho,60001603536,https://www.instagram.com/queirozmfilho,1,https://twitter.com/queirozmfilho,queirozmfilho,1,1,613,451,255,9,4393.005150462963,0.0,0.0
Fátima Cleide,FatimaCleidePT,2009-08-13T22:48:29.000Z,"Educadora, Senadora 2003-2010 PT/RONDÔNIA.",0,65491379,0,fatimacleidept,220001612147,https://www.instagram.com/fatimacleidept/,1,https://twitter.com/FatimaCleidePT,fatimacleidept,1,1,8748,1024,36727,205,4752.049664351852,0.0,4.0
Vitor Naressi,VitorNaressi,2014-08-27T18:58:27.000Z,"Deputado Federal vote 4460 🇧🇷 😃 Fui reeleito vereador com 1917 votos, maior progressão de votos da região! 👨🏻‍🎓Gestão Pública 🔰Veterano do Exército BR",0,2774254891,0,vitornaressi,250001651720,https://www.instagram.com/vitornaressi/,1,https://mobile.twitter.com/VitorNaressi,vitornaressi,1,1,56,10,568,0,2912.209409722223,0.0,4.0
Eduardo Moreira,esperidiaoamin,2009-08-14T00:31:43.000Z,,0,65513448,0,esperidiaoamin,240001679805,https://www.instagram.com/esperidiaoamin/,1,https://twitter.com/esperidiaoamin_,esperidiaoamin_,1,0,22,4,0,0,4751.977974537037,0.0,0.0
Wolmir Amado,wolmiramado,2022-05-26T18:24:12.000Z,Próximo governador de Goiás. 13! Professor Pós doutor 🧑🏽‍🏫Fui Reitor da PUC Goiás por 19anos . Goiano de coração há 40anos💚,0,1529890864016900097,0,wolmiramado,90001648642,https://instagram.com/@wolmiramado,1,https://twitter.com/@wolmiramado,wolmiramado,1,1,298,50,73,7,83.23319444444444,0.0,2.0
Gilson Edimar,gilsonedimar0,2022-07-04T09:00:34.000Z,Gilson Edimar,0,1543882309732032513,0,gilsonedimar0,130001603697,https://www.instagram.com/gilsonedimar0/,1,https://twitter.com/gilsonedimar0,gilsonedimar0,1,1,0,0,0,0,44.624606481481486,0.0,0.0
Wesley Ros,wesleyros,2009-11-01T00:09:58.000Z,"Pastor, artista, produtor musical proprietário do ÁTRIO ESTUDIOS e JACK TRAVEL,  e candidato a federal SP🇧🇷 - PL",0,86627753,0,wesleyros,250001611318,https://instagram.com/wesleyros,1,https://twitter.com/wesleyros,wesleyros,1,1,45427,380,36596,81,4672.993078703704,0.0,0.0
Maria Vanir 1314,MariaVanirTO,2018-07-12T21:59:25.000Z,"Bióloga, educadora popular, coordenadora do Movimento Estadual de Direitos Humanos no Tocantins.
#EleNão",0,1017528883741110277,0,mariavanirto,270001612032,https://www.instagram.com/mariavanirto/?hl=pt-br,1,https://twiter.com/mariavanirto,mariavanirto,1,1,665,1593,602,0,1497.083738425926,4.0,0.0
Mira Graçano Oficial,miragracano,2009-02-20T11:22:43.000Z,"Mulher de fé, que mudou sua história pelo estudo, trabalho e integridade.",0,21389771,0,miragracano,160001716121,https://www.instagram.com/miragracano/,1,https://twitter.com/miragracano,miragracano,1,1,196,99,295,0,4926.525891203703,0.0,0.0
Fernando S Torquato,torquato4x4,2009-09-14T13:26:33.000Z,"Pelas ideias da liberdade
Líder do Novo em SBS
Empreendedor",0,74155417,0,torquato4x4,240001597548,https://instagram.com/torquato4x4,1,https://www.twitter.com/torquato4x4,torquato4x4,1,1,121,143,189,0,4720.439895833333,0.0,0.0
Bernardo Abreu,bernardoabreurj,2019-11-18T00:45:56.000Z,Lutando por um Rio e uma Niterói cada vez mais livres. Anti-privilégio Anti-desperdício Anti-corrupção,0,1196227965115392001,0,bernardoabreurj,190001598407,https://instagram.com/bernardoabreurj,1,https://www.twitter.com/bernardoabreurj,bernardoabreurj,1,1,212,276,262,3,1003.9681018518519,0.0,0.0
Cadu,cadunovosp,2022-04-12T14:59:31.000Z,Relações Internacionais USP Partido Novo Grande SP Oeste,0,1513894459041325057,0,cadunovosp,250001597770,https://instagram.com/cadunovosp,1,https://www.twitter.com/cadunovosp,cadunovosp,1,1,183,666,29,1,127.37533564814815,0.0,0.0
Ney Leprevost,neyleprevost,2009-07-02T19:35:35.000Z,"Pai do Pedro e marido da Carina.
Candidato a Deputado Estadual.
Deputado Federal.
Ex-Secretário de Justiça, Família e Trabalho do Estado do Paraná.",0,53163365,0,neyleprevost,160001716007,https://instagram.com/neyleprevost?igshid=YmMyMTA2M2Y=,1,https://twitter.com/neyleprevost?s=21&t=lo8WPiLZvoK4U1bQKUqtHQ,neyleprevost,1,1,22943,4099,46211,189,4794.183622685186,0.0,0.0
Buba Germano,BubaGermano,2019-05-17T14:13:00.000Z,"Deputado Estadual, no segundo mandato pelo PSB da Paraíba. 
Engenheiro Agrônomo.
Ex-prefeito de Picuí-PB.
Ex-presidente da FAMUP.",0,1129389356354015233,0,bubagermano,150001621668,https://www.instagram.com/bubagermano/,1,https://twitter.com/BubaGermano,bubagermano,1,1,19,36,10,0,1188.4076388888889,0.0,0.0
Odair Tramontin,OdairTramontin,2020-10-01T19:44:56.000Z,Candidato a governador de Santa Catarina pelo @partidonovo30,0,1311753908549750784,0,odairtramontin,240001605909,https://instagram.com/odairtramontin/,1,https://www.twitter.com/OdairTramontin,odairtramontin,1,1,506,34,36,9,685.1771296296297,0.0,2.0
Aline Bastos,alinebastosmg,2022-05-19T19:45:28.000Z,"💚💛 Pré-candidata a Deputada Federal pelo PL 
🌄 Montes Claros - MG
🇧🇷 Conservadora
👪 Mãe
❤ Pró-Vida
✝ Católica
⚔ Pró-Armas",0,1527374690221600791,0,alinebastosmg,130001610982,https://www.instagram.com/alinebastosmg,1,https://twitter.com/alinebastosmg,alinebastosmg,1,1,238,500,572,0,90.17675925925927,0.0,0.0
Maria Bertoche,mariabertoche,2007-09-03T01:57:44.000Z,"Professora de Filosofia no CE Euclydes da Cunha, pré candidata a vereadora em Teresópolis.",0,8615442,0,mariabertoche,190001600430,https://www.instagram.com/mariabertoche/,1,https://twitter.com/mariabertoche,mariabertoche,1,1,219,377,1316,2,5462.918240740742,0.0,0.0
Leonardo Monteiro 1363,depleomonteiro,2010-04-05T15:27:18.000Z,"Com Lula, mais trabalho e novas conquistas. Vote 1363, o deputado federal do Lula! ⭐️",0,129837652,1,depleomonteiro,130001607248,https://www.instagram.com/depleomonteiro/,1,https://twitter.com/depleomonteiro,depleomonteiro,1,1,10707,811,12289,190,4517.356041666667,4.0,4.0
robertolucena,robertolucena,2009-06-20T22:12:31.000Z,Jornalista,0,49137135,0,robertolucena,250001611893,https://instagram.com/robertolucena,1,https://twitter.com/Dep_Lucena,dep_lucena,1,0,1013,775,34561,10,4806.074641203703,0.0,0.0
Elenil da Penha,deputadoelenil,2015-02-08T20:28:12.000Z,"Fui vereador, secretário de Habitação e, hoje, sou deputado estadual do Tocantins pelo 2° mandato.",0,3025514597,0,deputadoelenil,270001700076,https://instagram.com/deputadoelenil?igshid=YmMyMTA2M2Y=,1,https://twitter.com/deputadoelenil?s=11&t=MHp_UNPe0fTxMJ5VUgVw9A,deputadoelenil,1,1,2737,2191,5350,11,2747.1470833333333,0.0,0.0
Deputado Luiz Fernando Guerra,DeputadoGuerra,2022-02-24T19:17:41.000Z,"Luiz Fernando Guerra é natural de Pato Branco, região sudoeste do Paraná e, aos 34 anos, se torno Deputado Estadual em 2018 eleito com 32.216 votos.",0,1496927220539006980,0,deputadoguerra,160001716035,https://www.instagram.com/deputadoguerra/,1,https://twitter.com/DeputadoGuerra,deputadoguerra,1,1,15,67,42,2,174.19605324074075,0.0,2.0
Maíra Machado,MairaMRT,2014-10-05T14:27:22.000Z,"Professora de SP, pré candidata à Deputada Estadual do MRT no Polo Socialista Revolucionário, apresentadora do podcast Feminismo e Marxismo",0,2807920131,0,mairamrt,250001611547,https://www.instagram.com/mairamrt/,1,https://twitter.com/MairaMRT,mairamrt,1,1,1860,698,5580,11,2873.3976620370377,0.0,0.0
Gabriel Magno 13131,gabrielmagno_13,2009-04-20T23:38:13.000Z,👨‍👦Pai do Ernesto 👨‍🏫Professor de Física na Secretaria de Educação do DF 📢 Candidato a Deputado Distrital pelo PT-DF 13131,0,33717372,0,gabrielmagno_13,70001596090,http://instagram.com/gabrielmagno_13,1,http://twitter.com/gabrielmagno_13,gabrielmagno_13,1,1,1126,1149,4777,12,4867.015127314815,5.0,5.0
Luiz Valério Bonfim,Valerio_Luiz,2010-03-18T11:28:36.000Z,,0,124140046,0,valerio_luiz,90001649531,https://instagram.com/valerio_luiz,1,https://twitter.com/@valerioluiz,valerioluiz,1,0,7,2,1,1,4535.521805555555,0.0,0.0
Renato Casagrande,Casagrande_ES,2009-09-16T12:49:17.000Z,"Twitter pessoal do Governador do ES (2019-2022)
📱27 99666-4240",0,74722174,1,casagrande_es,80001649123,https://www.instagram.com/casagrande_es/,1,https://twitter.com/Casagrande_ES,casagrande_es,1,1,96069,589,10211,523,4718.465775462963,0.0,4.0
Mauro Rubem #LULA2022,maurorubempt,2009-07-13T19:16:39.000Z,"• Vereador por Goiânia, pré-candidato a deputado estadual.
• Cristão socialista, servidor público, dentista na UPA Noroeste.",0,56464349,0,maurorubempt,90001649533,https://www.instagram.com/maurorubempt,1,https://www.twitter.com/maurorubempt,maurorubempt,1,1,7418,1015,26904,136,4783.196770833333,4.0,0.0
juliana,drumondjuliana,2011-07-12T19:14:08.000Z,,0,334218867,0,drumondjuliana,190001600464,http://instagram.com/drumondjuliana,1,http://twitter.com/JuDrumond50,judrumond50,1,0,3,11,50,0,4054.1985185185185,0.0,0.0
Victor Hugo Bezerra,victorhugorn,2019-12-22T21:26:38.000Z,,0,1208861392658456577,0,victorhugorn,200001603381,https://instagram.com/victorhugorn,1,https://mobile.twitter.com/victorhugocrn,victorhugocrn,1,0,3,18,6,0,969.1065046296297,0.0,0.0
Alex Carreiro,alexcarreirodf,2017-08-24T21:22:01.000Z,Candidato a Deputado Distrital 🇧🇷 Vote 44123,0,900830577259163649,0,alexcarreirodf,70001609155,https://www.instagram.com/alexcarreirodf/,1,https://twitter.com/AlexCarreiroDf,alexcarreirodf,1,1,55,216,106,2,1819.1097106481482,0.0,5.0
Priante,PrianteOficial,2020-06-21T07:48:04.000Z,,0,1274609751012380672,0,prianteoficial,140001621340,http://www.instagram.com/prianteoficial,1,http://twitter.com/priante15,priante15,1,0,10,36,23,0,787.6749537037036,0.0,0.0
marcos,Marcossampaio,2009-06-17T02:55:38.000Z,,0,47831549,0,marcossampaio,180001602554,https://www.instagram.com/marcossampaio/,1,https://www.twitter.com/marcosa_sampaio,marcosa_sampaio,1,0,8,0,0,0,4809.878032407408,0.0,0.0
Marcelo Aguiar,marceloaguiarbh,2016-06-24T23:15:53.000Z,,0,746482005794263040,0,marceloaguiarbh,130001598593,https://instagram.com/marceloaguiarbh,1,https://www.twitter.com/marceloaguiarbh,marceloaguiarbh,1,1,12,93,76,0,2245.030636574074,0.0,0.0
@sabrinagarcez,sabrinagarcez,2009-07-06T22:02:38.000Z,"Advogada, vereadora por Goiânia, apaixonada pela política. #GoiâniaDoMeu❤",0,54348210,1,sabrinagarcez,90001651348,https://www.instagram.com/sabrinagarcez/?hl=pt,1,https://twitter.com/sabrinagarcez,sabrinagarcez,1,1,1623,652,14725,11,4790.081504629629,0.0,0.0
Luciana Buck,lucianabbuck,2010-08-31T13:26:38.000Z,"Uma trabalhadora incansável! Administradora, mestre em estratégia, empresária, professora apaixonada! Pré-candidata a vereadora de Salvador.",0,185209028,0,lucianabbuck,50001596234,https://instagram.com/lucianabbuck/,1,https://www.twitter.com/@lucianabbuck,lucianabbuck,1,1,28,17,11,0,4369.439837962963,0.0,0.0
Thiago Coqueiro - 21100 Dep. Estadual,CoqueiroPCB,2022-04-07T21:49:01.000Z,"Professor de educação física, dirigente sindical, militante da luta quilombola e agroecológica, candidato Dep. Estadual pelo @pcbpartidao",0,1512185490241429506,0,coqueiropcb,190001723508,https://www.instagram.com/coqueiropcb/,1,https://twitter.com/CoqueiroPCB,coqueiropcb,1,1,627,147,89,5,132.09096064814815,5.0,0.0
Prof. Eder Bento,profederbento,2015-04-03T15:39:02.000Z,"Pré-Candidato a Deputado Federal/partido NOVO, Professor inovador, Fundador da Agência 2ED 
Impactando vidas através da inovação!",0,3136348752,0,profederbento,90001601547,https://instagram.com/profederbento,1,https://www.twitter.com/profederbento,profederbento,1,1,214,102,231,0,2693.3478935185185,0.0,0.0
Altair Brandão 65677,AltairBrandao65,2021-02-03T18:58:53.000Z,"Candidato a Deputado Estadual pelo PCdoB Vereador de Belém - Altair de Lima Brandão com informações sobre o mandato, projetos e ações do parlamentar.",0,1357040815160320002,0,altairbrandao65,140001676598,https://www.instagram.com/altairbrandao65/?igshid=YmMyMTA2M2Y%3D,1,https://twitter.com/AltairBrandao65?t=W-XHRwXlwmIkOSX3LGRTSQ&s=09,altairbrandao65,1,1,46,144,156,0,560.2091087962963,5.0,0.0
Maurício Dziedricki,DepMauricioRS,2009-10-16T02:29:16.000Z,Deputado Federal 🇧🇷 1️⃣9️⃣7️⃣7️⃣,0,82776436,0,depmauriciors,210001596134,https://www.instagram.com/depmauriciors/,1,https://twitter.com/DepMauricioRS,depmauriciors,1,1,4594,238,2422,93,4688.896342592593,0.0,0.0
Ed Pereira,edpereirajr,2012-07-02T15:36:19.000Z,"#TransformaSC Pré-candidato a Dep. Federal 6 anos Secretário de Cultura,Esporte e Lazer Idealizador: Arenas Públicas de Esportes 🧩 @proautismofloripa",0,624763472,0,edpereirajr,240001604520,https://www.instagram.com/edpereirajr/,1,https://twitter.com/edpereirajr,edpereirajr,1,1,194,462,486,2,3698.3497800925925,0.0,0.0
Helena da Asatur,helenadaasatur,2022-06-13T22:14:35.000Z,"Mãe, avó, esposa e cristã. Empresária. Pré-candidata a Deputada Federal.",0,1536471955209076736,0,helenadaasatur,230001602806,HTTP://INSTAGRAM.COM/HELENADAASATUR,1,HTTP://TWITTER.COM/HELENADAASATUR,helenadaasatur,1,1,10,58,3,0,65.07320601851852,0.0,0.0
Salomon Evelyn,elianalago,2009-10-18T14:43:41.000Z,My name: guchi21 on this site: https://t.co/89oCWi0eLc,0,83376073,0,elianalago,180001612880,https://www.instagram.com/elianalago/,1,https://twitter.com/search?q=eliana%20lago&src=typed_query,search,1,0,37,0,8,0,4686.386331018518,0.0,2.0
Juscelino filho,juscelinofilho,2009-08-12T20:20:00.000Z,,0,65147958,0,juscelinofilho,100001610561,https://www.instagram.com/juscelinofilho/,1,https://twitter.com/DepJuscelino,depjuscelino,1,0,7,4,2,0,4753.152777777778,0.0,0.0
Paulo Ricarte,paulo_ricarte,2011-12-02T11:34:02.000Z,,0,426553934,0,paulo_ricarte,120001598325,https://instagram.com/paulo_ricarte,1,https://www.twitter.com/RicartePaulo,ricartepaulo,1,0,1,6,4,0,3911.5180324074076,0.0,0.0
Helen Machado,Helenmachadoc,2022-07-26T23:06:38.000Z,"👨‍👩‍👦 Mãe do JoãoVitor.
📊 Gestão Eficiente e Foco em Resultado
❤ Coragem, Determinação e Amor!
🎯Administradora e Especialista  Finanças.",0,1552067776990298117,0,helenmachadoc,210001620194,https://instagram.com/helenmachadoc?igshid=YmMyMTA2M2Y=,1,https://twitter.com/Helenmachadoc?t=JM5B4FcHRyYhbFH6Izm7cw&s=08,helenmachadoc,1,1,3,88,6,0,22.037060185185187,0.0,0.0
Leo de Brito 🚩🇧🇷,leodebritoac,2009-07-08T02:00:40.000Z,"Advogado, professor de Direito na UFAC e Deputado Federal pelo Acre (PT). Antifascista. Doutorando em Direito pela UNB.",0,54761754,1,leodebritoac,10001613550,https://www.instagram.com/leodebritoac/,1,https://twitter.com/leodebritoac,leodebritoac,1,1,6180,2174,17451,88,4788.916203703703,0.0,0.0
Ernani Polo,ernanipolo,2009-08-31T02:32:47.000Z,"Deputado Estadual RS - Progressistas
Eleito com 67.248 votos
Presidente da Assembleia Legislativa (2020)
Secretário Estadual da Agricultura (2015/2018)",0,70284501,1,ernanipolo,210001647164,http://www.instagram.com/@ernanipolo,1,http://www.twitter.com/@ernanipolo,ernanipolo,1,1,4598,1818,10300,48,4734.893900462963,0.0,2.0
De Assis Diniz 13456,DeAssisDiniz,2011-02-05T20:46:32.000Z,"Candidato a Dep Estadual 🌟 Pai, advogado, historiador 📌 Ex-presidente do PT Ceará, CUT e IDT 📌 Ex-Secretário do Desenvolvimento Agrário",0,247906787,1,deassisdiniz,60001633671,https://www.instagram.com/deassisdiniz/,1,https://twitter.com/deassisdiniz,deassisdiniz,1,1,1121,649,2147,4,4211.134351851852,5.0,0.0
Guilherme Pasin,guilhermepasin,2009-06-22T12:40:49.000Z,"Ex-Prefeito de Bento Gonçalves, a Capital do Vinho (2013-2020).  Candidato a Deputado Estadual - 11.333",0,49616087,0,guilhermepasin,210001647169,https://instagram.com/guilhermepasin,1,https://twitter.com/guilhermepasin,guilhermepasin,1,1,2671,1241,8556,8,4804.471655092592,0.0,4.0
Alan Lopes 22.377,AlanLopesRio,2019-08-04T11:59:59.000Z,"Cristão, conservador, casado, pai, empresário e defensor implacável da família tradicional.",0,1157984524116156416,0,alanlopesrio,190001596743,https://www.instagram.com/alanlopesrio/,1,https://twitter.com/AlanLopesRio,alanlopesrio,1,1,107022,36257,4882,157,1109.500011574074,2.0,0.0
Josa Queiroz,josaqueirozpt,2013-09-09T17:08:17.000Z,"🏛Presidente da Câmara Municipal de Diadema.
🌇Pré Candidato a Deputado Estadual.
📌Participe e acompanhe meu trabalho na Câmara:",0,1848767107,0,josaqueirozpt,250001611744,https://www.instagram.com/josaqueirozpt/,1,https://twitter.com/josaqueirozpt,josaqueirozpt,1,1,450,387,1106,2,3264.285914351852,0.0,0.0
kekabagno,kekabagno,2018-05-07T00:36:01.000Z,✊🏿Candidata a Governadora do DF ☀️ Psol e Rede - Vote 50 🏠Conselheira Tutelar e Assistente Social 🎓 Mestre em Políticas Públicas (UnB),0,993288307625943040,0,kekabagno,70001601117,https://www.instagram.com/kekabagno/,1,https://twitter.com/kekabagno?s=20&t=LorwC7nxjUdeVF5znhVAkw,kekabagno,1,1,2148,238,799,11,1563.974988425926,0.0,2.0
Silvana Ana Comin,silvana_comin,2020-03-16T01:19:01.000Z,"Posicionamento é a ação de se posicionar em relação a algo, ou seja, tomar uma atitude e assumir um partido sobre determinado assunto, SOU BRASIL SOU BOLSONARO.",0,1239360450862743554,0,silvana_comin,240001614597,https://instagram.com/silvana_comin?igshid=YmMyMTA2M2Y=,1,https://twitter.com/silvanacomin_?s=11&t=P9KtH1WpZsc6XCdP6n4Qbg,silvanacomin_,1,0,0,11,14,0,884.9451273148148,0.0,0.0
Rosângela Santos,RosangelaSP13,2019-09-26T03:59:51.000Z,"⭐ Pré-candidata à deputada federal
💪 Ex-vereadora de Embu das Artes
❤️ Bora lutar pela igualdade social e pelos direitos das mulheres ⤵️",0,1177070202942566400,0,rosangelasp13,250001610691,https://www.instagram.com/rosangelasp13/,1,https://twitter.com/rosangelasp13,rosangelasp13,1,1,419,407,253,3,1056.8334375,0.0,0.0
Gerson Pessoa,gersonpessoa,2009-12-01T17:54:34.000Z,"🟣 Pré-Candidato Dep. Estadual
🟢 Ex-Secretário de Tecnologia, Inovação e Des. Econômico de Osasco
🤜🤛 Time Rogério Lins",0,93907428,0,gersonpessoa,250001610498,https://www.instagram.com/gersonpessoa/,1,https://twitter.com/gersonpessoa,gersonpessoa,1,1,34,83,25,0,4642.253773148148,0.0,0.0
Barbosinha,barbosinhams,2014-07-08T21:53:01.000Z,https://t.co/T9ANz3cf1p,0,2612421128,0,barbosinhams,120001635629,https://www.instagram.com/barbosinhams/,1,https://twitter.com/barbosinhams?t=w5To8tUlwTqo0eCXdwIINw&s=08,barbosinhams,1,1,145,60,7031,3,2962.088182870371,0.0,0.0
Luana Rosa PSOL,luanarosapsol,2009-08-15T23:47:08.000Z,"Feminista, antiracista, antifacista, ambientalista e cientista.",0,66004977,0,luanarosapsol,210001598511,https://www.instagram.com/luanarosapsol,1,https://twitter.com/luanarosapsol,luanarosapsol,1,1,89,71,886,2,4750.008935185185,0.0,0.0
Débora Letícia,deboramenezesm,2010-07-27T02:40:31.000Z,,0,171322253,0,deboramenezesm,40001633336,https://www.instagram.com/deboramenezesm/,1,https://twitter.com/deborasmenezes1,deborasmenezes1,1,0,2,0,0,0,4404.888530092593,0.0,0.0
Odete Fiorda,OdeteFiorda,2022-01-09T09:42:48.000Z,,0,1480112658045149191,0,odetefiorda,250001597747,https://instagram.com/Odetefiorda,1,https://www.twitter.com/Odete.fiorda,odete,1,0,2,96,37,0,220.5952777777778,0.0,0.0
Marcos Lucas,marcoslucassp,2022-05-29T14:55:13.000Z,"🔸️Pré-candidato a Deputado Federal
🔸Apoiador da geração de emprego pelo Turismo!
🚍 CEO da @vencestur
🔸️Marido da Silvia, pai do Pedro, Bruno e Fred",0,1530925498091569154,0,marcoslucassp,250001597698,https://instagram.com/marcoslucassp,1,https://www.twitter.com/marcoslucassp,marcoslucassp,1,1,14,44,20,1,80.37832175925926,0.0,0.0
jaqueline cassol,JaquelineCassol,2015-09-17T15:52:53.000Z,,0,3687208414,0,jaquelinecassol,220001609385,https://www.instagram.com/jaquelinecassol/,1,https://twitter.com/jqcassol?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eaut,jqcassol,1,0,10,18,0,1,2526.338275462963,0.0,0.0
João Arnaldo 50 🌻,JoaoArnaldoPSOL,2009-07-11T03:52:29.000Z,"Candidato a Governador de Pernambuco pelo PSOL, pai de Inaê, advogado popular e socioambientalista. 🌻",0,55750937,0,joaoarnaldopsol,170001715331,https://www.instagram.com/joaoarnaldopsol/,1,https://mobile.twitter.com/joaoarnaldopsol,joaoarnaldopsol,1,1,2206,1449,1371,25,4785.838553240741,2.0,0.0
Waldemir soares silv,waldemirsoares,2010-07-09T00:11:20.000Z,,0,164479742,0,waldemirsoares,250001611412,https://www.instagram.com/waldemirsoares/,1,https://twitter.com/WSoaresAdv,wsoaresadv,1,0,0,0,0,0,4422.99212962963,0.0,0.0
Dr. Wolmir Aguiar,drwolmiraguiar,2017-01-06T17:55:47.000Z,"Advogado, (vereador 2017/2020)",0,817429469556314112,0,drwolmiraguiar,160001614791,https://www.instagram.com/drwolmiraguiar/,1,https://twitter.com/drwolmiraguiar,drwolmiraguiar,1,1,144,86,410,6,2049.252928240741,0.0,4.0
Tiago Mitraud,TiagoMitraud,2010-04-10T14:18:49.000Z,"Deputado federal pelo @partidonovo30 de Minas Gerais.

Trabalhando por um Brasil mais livre e por uma política da qual possamos nos orgulhar.",0,131517140,1,tiagomitraud,280001603611,https://instagram.com/tiagomitraud,1,https://www.twitter.com/tiagomitraud,tiagomitraud,1,1,47805,945,5049,309,4512.403599537037,0.0,2.0
Sidney Sabel,sidneysabel,2012-08-29T13:22:05.000Z,"Sou formando em Administração de Empresas, Casado, pai de 2 filhos Eleito para 3º mandato de vereador na cidade de Joinville.",0,789329154,0,sidneysabel,240001616190,https://www.instagram.com/sidneysabel/,1,https://twitter.com/sidneysabel,sidneysabel,1,1,161,221,1023,3,3640.4429976851848,0.0,0.0
Professora Giovana 💗🌹12011,giovanabsg,2015-01-07T22:10:06.000Z,"🌹 VOTE 12011 - Dep. Estadual
👩🏻‍🏫 Prof. de escola pública
💗 Presidente PDT/AMT - SG

Me siga nas redes ⬇️ 
https://t.co/57T7F6mRWL

#FalaProfessoraGio",0,2966793707,0,giovanabsg,210001621309,https://instagram.com/giovanabsg?igshid=YmMyMTA2M2Y=,1,https://twitter.com/giovanabsg,giovanabsg,1,1,446,466,3531,0,2779.076319444445,5.0,5.0
Vozes Marajoaras,vozesmarajoaras,2022-08-13T16:21:49.000Z,,0,1558488895536463874,0,vozesmarajoaras,140001676629,https://www.instagram.com/vozesmarajoaras/,1,https://twitter.com/vozesmarajoaras,vozesmarajoaras,1,1,0,3,0,0,4.318182870370371,0.0,0.0
Thiago Albernaz,ThiagoAlbernaz,2020-06-09T13:52:28.000Z,extrovertido e espontâneo,0,1270353016126935041,0,thiagoalbernaz,90001653172,https://instagram.com/thiagoalbernaz?igshid=YmMyMTA2M2Y=,1,https://mobile.twitter.com/thiagoalbernaz_,thiagoalbernaz_,1,0,4,37,5,0,799.4218981481481,0.0,0.0
Tony Medeiros,tonymedeirosam,2010-03-14T13:33:14.000Z,"🎤Artista, ♥️ Garantido, 🎖Deputado Estadual",0,122955736,0,tonymedeirosam,40001633344,https://instagram.com/tonymedeirosam?igshid=YmMyMTA2M2Y=,1,https://twitter.com/tonymedeirosam?s=21&t=X1062JB4twTS4eSyVJNwaQ,tonymedeirosam,1,1,2631,1097,2672,22,4539.4352546296295,0.0,0.0
